Name,Age,Date of Birth,Nationality,Team,Position,Debut,Height in feet,Weight in lb,Games,Assists,Goals,Powerplay Goals,Shorthand Goals,Winning Goals,Overtime Goals,Points,Powerplay Points,Shorthand Points,Shots,Shots Percentage,Penalty Minutes,Wins Percentage
Colin Blackwell,28,1993,USA,NEW YORK RANGERS,C,2011,5' 9'',190,80,17,15,3,0,2,0,32,5,0,100,15,27,51
James van Riemsdyk,32,1989,USA,PHILADELPHIA FLYERS,LW,2007,6' 3'',217,797,260,264,76,3,38,1,524,138,5,2199,12,321,42.1
Claude Giroux,33,1988,CANADA,PHILADELPHIA FLYERS,C,2006,5' 11'',185,943,585,273,81,7,46,11,858,327,16,2443,11.2,392,55.5
Jakub Voracek,31,1989,CZECHIA,PHILADELPHIA FLYERS,RW,2007,6' 2'',214,968,522,216,52,0,29,11,738,233,0,2353,9.2,481,38.7
Sean Couturier,28,1992,USA,PHILADELPHIA FLYERS,C,2011,6' 3'',211,692,269,174,25,5,28,4,443,77,12,1498,11.6,263,51.9
Joel Farabee,21,2000,USA,PHILADELPHIA FLYERS,LW,2018,6' 0'',164,107,31,28,4,0,2,0,59,9,0,203,13.8,67,36
Travis Konecny,24,1997,CANADA,PHILADELPHIA FLYERS,RW,2015,5' 10'',175,349,125,94,17,0,13,3,219,49,0,733,12.8,189,38.3
Kevin Hayes,29,1992,USA,PHILADELPHIA FLYERS,C,2010,6' 5'',216,505,174,127,21,10,21,4,301,53,17,1017,12.5,156,46.4
Ivan Provorov,24,1997,RUSSIA,PHILADELPHIA FLYERS,D,2015,6' 1'',201,371,109,50,9,0,9,2,159,38,1,785,6.4,138,0
Sidney Crosby,33,1987,CANADA,PITTSBURGH PENGUINS,C,2005,5' 11'',200,1039,839,486,145,4,69,18,1325,480,11,3331,14.6,699,52.1
Jake Guentzel,26,1994,USA,PITTSBURGH PENGUINS,LW,2013,5' 11'',180,299,136,121,26,1,16,3,257,54,2,747,16.2,120,46
Kris Letang,34,1987,CANADA,PITTSBURGH PENGUINS,D,2005,6' 0'',201,863,448,134,44,4,26,6,582,225,13,2243,6,612,20
Bryan Rust,29,1992,USA,PITTSBURGH PENGUINS,RW,2010,5' 11'',192,364,112,100,16,5,19,4,212,33,10,781,12.8,122,30
Jared McCann,25,1996,CANADA,PITTSBURGH PENGUINS,LW,2014,6' 1'',185,353,89,66,12,4,14,2,155,12,5,686,9.6,122,41.7
Kasperi Kapanen,24,1996,FINLAND,PITTSBURGH PENGUINS,RW,2014,6' 1'',194,242,68,52,2,5,9,3,120,10,5,443,11.7,62,24.2
Evgeni Malkin,34,1986,RUSSIA,PITTSBURGH PENGUINS,C,2004,6' 3'',195,940,680,424,153,4,73,12,1104,418,5,3117,13.6,984,44.2
Teddy Blueger,26,1994,LATVIA,PITTSBURGH PENGUINS,C,2012,6' 0'',185,140,32,22,0,4,4,0,54,0,8,184,12,56,46.2
Evander Kane,29,1991,CANADA,SAN JOSE SHARKS,LW,2009,6' 2'',210,769,242,264,47,19,37,4,506,91,19,2730,9.7,988,45.4
Tomas Hertl,27,1993,CZECHIA,SAN JOSE SHARKS,C,2012,6' 2'',215,503,172,151,33,5,27,3,323,62,8,1125,13.4,162,52.9
Logan Couture,32,1989,CANADA,SAN JOSE SHARKS,C,2007,6' 1'',200,768,304,273,73,11,48,5,577,73,18,2146,12.7,214,48.4
Timo Meier,24,1996,SWITZERLAND,SAN JOSE SHARKS,RW,2015,6' 0'',210,317,100,88,13,0,9,2,188,33,1,899,9.8,180,40.9
Brent Burns,36,1985,CANADA,SAN JOSE SHARKS,D,2003,6' 5'',230,1169,506,217,76,2,40,15,723,258,15,3234,6.7,721,45.5
Kevin Labanc,25,1995,USA,SAN JOSE SHARKS,RW,2014,5' 11'',185,339,115,62,9,0,14,4,177,51,0,660,9.4,159,32.1
Erik Karlsson,31,1990,SWEDEN,SAN JOSE SHARKS,D,2008,6' 0'',190,788,482,143,35,2,27,6,625,236,7,2244,6.4,372,0
Ryan Donato,25,1996,USA,SAN JOSE SHARKS,C,2014,6' 0'',192,180,42,35,7,0,3,1,77,20,0,362,9.7,30,43.1
Rudolfs Balcers,24,1997,LATVIA,SAN JOSE SHARKS,LW,2015,5' 11'',180,92,20,14,3,0,4,0,34,5,0,137,10.2,26,8.3
