Name,Age,Date of Birth,Gender,Country,Debut,Height in m,Weight in kg,Plays,Rank,Tour Rank,Career wins,Singles Played,Singles Won,Singles Lost,Doubles Played,Doubles Won,Doubles Lost,Mixed Played,Mixed Won,Mixed Lost
Michelle LI,29,1991,FEMALE,HONGKONG,2007,1.73,66,RIGHT,11,NOT FOUND,462,506,346,160,139,82,57,53,34,19
Sitthikom THAMMASIN,26,1995,MALE,THAILAND,2009,1.81,75,RIGHT,26,16,161,232,148,84,9,5,4,12,8,4
SUN Fei Xiang,23,1998,MALE,CHINA,2013,1.76,NOT FOUND,NOT FOUND,49,NOT FOUND,109,149,109,38,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Mia BLICHFELDT,24,1997,FEMALE,DENMARK,2013,1.72,NOT FOUND,RIGHT,12,6,206,301,205,96,2,1,1,NOT FOUND,NOT FOUND,NOT FOUND
Kunlavut VITIDSARN,20,2001,MALE,THAILAND,2014,1.81,NOT FOUND,RIGHT,25,4,281,271,217,54,54,34,20,45,30,15
Busanan ONGBAMRUNGPHAN,25,1996,FEMALE,THAILAND,2010,1.68,NOT FOUND,RIGHT,13,3,259,417,249,168,16,10,6,NOT FOUND,NOT FOUND,NOT FOUND
Sameer VERMA,26,1994,MALE,DHAR,2010,1.7,60,RIGHT,28,25,181,280,181,99,1,0,1,NOT FOUND,NOT FOUND,NOT FOUND
Beiwen ZHANG,31,1990,FEMALE,CHINA,2006,1.69,NOT FOUND,RIGHT,14,8,302,410,267,143,55,29,26,12,6,6
LU Guang Zu,24,1996,MALE,CHINA,2016,NOT FOUND,NOT FOUND,RIGHT,27,NOT FOUND,62,101,62,39,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Sayaka TAKAHASHI,29,1992,FEMALE,JAPAN,2009,1.68,60,LEFT,15,NOT FOUND,235,338,231,107,8,4,4,1,0,1
HUANG Yu Xiang,28,1993,MALE,CHINA,2010,1.8,78,RIGHT,29,NOT FOUND,102,187,102,85,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Tommy SUGIARTO,33,1988,MALE,INDONESIA,2006,1.75,70,RIGHT,32,NOT FOUND,354,547,345,202,16,9,7,NOT FOUND,NOT FOUND,NOT FOUND
SUNG Jihyun,30,1991,FEMALE,SOUTH KOREA,2007,1.75,56,RIGHT,16,51,384,589,383,206,2,1,1,NOT FOUND,NOT FOUND,NOT FOUND
