Name,Age,Date of Birth,Country,Debut,Gender,Rank,Arrow Length in cm,Draw Weight in kg,Average Arrow,World Cup Gold,World Cup Silver,World Cup Bronze
Quentin Baraer,28,1993,FRANCE,NOT FOUND,MALE,38,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,NOT FOUND
Mohammadsaleh Palizban,27,1994,IR IRAN,NOT FOUND,MALE,39,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,1
Sebastian Hamdorf,40,1981,GERMANY,2015,MALE,40,NOT FOUND,NOT FOUND,9.5,NOT FOUND,NOT FOUND,NOT FOUND
Pierre-julien Deloche,40,1982,FRANCE,2007,MALE,41,68.6,27.2,8.8,7,6,6
Sebastien Peineau,34,1987,FRANCE,2004,MALE,42,68.6,26.8,9.8,6,1,4
Miguel Angel Medina Orta,42,1979,SPAIN,NOT FOUND,MALE,43,NOT FOUND,NOT FOUND,9.6,NOT FOUND,NOT FOUND,NOT FOUND
Florian Grafmans,30,1991,GERMANY,NOT FOUND,MALE,44,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,NOT FOUND
Elia Fregnan,25,1996,ITALY,2013,MALE,45,78.7,21.3,9.7,NOT FOUND,NOT FOUND,1
Sebastian Arenas,23,1998,COLOMBIA,2015,MALE,46,78.7,26.8,9.7,NOT FOUND,NOT FOUND,2
Bryan Alvarado,31,1990,PUERTO RICO,NOT FOUND,MALE,47,NOT FOUND,NOT FOUND,9.6,NOT FOUND,NOT FOUND,NOT FOUND
Aljaz Matija Brenk,18,2003,SLOVENIA,NOT FOUND,MALE,48,NOT FOUND,NOT FOUND,9.6,NOT FOUND,NOT FOUND,NOT FOUND
