Name,Age,Country,Debut,Skill,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,Test Matches,Test Runs,Test Wickets,Test Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches
Shakib Al Hasan,33,Bangladesh,2006,ALLROUNDER,206,6323,260,50,56,3862,210,24,76,1567,92,19
BJ Haddin,43,Australia,2001,WICKETKEEPER BATSMAN,126,3122,0,170,66,3266,0,262,34,402,0,17
NLTC Perera,31,Srilanka,2009,BOWLING ALLROUNDER,164,2316,172,62,6,203,11,1,81,1201,51,30
NL McCullum,40,New zealand,2007,BOWLER,84,1070,63,41,0,0,0,0,63,299,58,26
Harpreet Singh,29,India,2008,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0
VR Aaron,31,India,2011,BOWLER,9,8,11,1,9,35,18,1,0,0,0,0
B Kumar,30,India,2012,BOWLER,114,526,132,27,21,552,63,8,43,23,41,6
F du Plessis,36,South Africa,2011,MIDDLE ORDER BATSMAN,143,5507,2,81,65,3901,0,59,50,1528,0,24
GJ Maxwell,32,Australia,2012,BATTING ALLROUNDER,116,3230,51,72,7,339,8,5,67,1687,29,31
SPD Smith,31,Australia,2010,MIDDLE ORDER BATSMAN,128,4378,28,70,73,7227,17,117,45,794,17,29
JP Faulkner,30,Australia,2012,BOWLING ALLROUNDER,69,1032,96,21,1,45,6,0,24,159,36,11
SP Narine,32,Westindies,2011,BOWLING ALLROUNDER,65,363,92,14,6,40,21,2,51,155,52,7
KMDN Kulasekara,38,Srilanka,2003,BOWLER,184,1327,199,46,21,391,48,8,58,215,66,17
MJ Clarke,39,Australia,2003,MIDDLE ORDER BATSMAN,245,7981,57,106,115,8643,31,134,34,488,6,13
AD Russell,32,Westindies,2010,ALLROUNDER,56,1034,70,11,1,2,1,1,49,540,26,12
GH Vihari,27,India,2018,BATTING ALLROUNDER,0,0,0,0,9,552,5,2,0,0,0,0
Mohammed Shami,30,India,2013,BOWLER,79,161,148,28,49,497,180,11,12,0,12,0
KL Rahul,28,India,2014,OPENING BATSMAN,35,1332,0,18,36,2006,0,46,45,1542,0,17
JJ Bumrah,26,India,2016,BOWLER,67,19,108,17,14,32,68,3,50,8,59,7
YS Chahal,30,India,2016,BOWLER,54,53,92,15,0,0,0,0,45,5,59,9
Imran Tahir,41,South Africa,2011,BOWLER,107,157,173,25,20,130,57,8,38,19,63,7
SS Iyer,25,India,2017,TOP ORDER BATSMAN,21,807,0,8,0,0,0,0,24,429,0,8
